mass,region,Br_Hbb,Br_Zbb,CSEV,HLT_efficiency,JER,JES,L1_prefiring,PDF,PER,PES,QCD_scale,Xbb_tagger,lumi_Run2,photon_ID,pile-up
1350,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.004,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1350,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.003,1.006,1.004,,1.002,1.007,,1.07,1.016,1.044,1.01
1350,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1350,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.002,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1400,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.025,1.018,1.004,1.051,1.005,1.006,1.012,1.07,1.016,1.044,1.01
1400,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.02,1.018,1.004,1.051,1.005,1.006,1.012,1.07,1.016,1.044,1.01
1400,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.022,1.017,1.004,,1.005,1.006,,1.07,1.016,1.044,1.01
1400,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.02,1.017,1.004,,1.005,1.006,,1.07,1.016,1.044,1.01
1400,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.005,1.02,1.004,,1.003,1.006,,1.07,1.016,1.044,1.01
1400,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.005,1.018,1.004,,1.003,1.006,,1.07,1.016,1.044,1.01
1400,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.004,1.02,1.004,,1.002,1.006,,1.07,1.016,1.044,1.01
1400,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.004,1.018,1.004,,1.002,1.006,,1.07,1.016,1.044,1.01
1450,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.024,1.006,1.004,1.051,1.007,1.007,1.012,1.07,1.016,1.044,1.01
1450,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.006,1.004,1.051,1.008,1.007,1.012,1.07,1.016,1.044,1.01
1450,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.016,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1450,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.014,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1450,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.004,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1450,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.003,1.006,1.004,,1.002,1.007,,1.07,1.016,1.044,1.01
1450,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1450,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.002,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1500,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.024,1.006,1.004,1.051,1.007,1.007,1.012,1.07,1.016,1.044,1.01
1500,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.006,1.004,1.051,1.008,1.007,1.012,1.07,1.016,1.044,1.01
1500,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.016,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1500,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.014,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1500,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.004,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1500,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.003,1.006,1.004,,1.002,1.007,,1.07,1.016,1.044,1.01
1500,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1500,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.002,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1550,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.024,1.006,1.004,1.051,1.007,1.007,1.012,1.07,1.016,1.044,1.01
1550,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.006,1.004,1.051,1.008,1.007,1.012,1.07,1.016,1.044,1.01
1550,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.016,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1550,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.014,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1550,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.004,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1550,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.003,1.006,1.004,,1.002,1.007,,1.07,1.016,1.044,1.01
1550,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1550,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.002,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1600,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.024,1.016,1.004,1.051,1.005,1.006,1.012,1.07,1.016,1.044,1.01
1600,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.019,1.016,1.004,1.051,1.006,1.006,1.012,1.07,1.016,1.044,1.01
1600,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.015,1.004,,1.005,1.006,,1.07,1.016,1.044,1.01
1600,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.016,1.015,1.004,,1.005,1.006,,1.07,1.016,1.044,1.01
1600,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.005,1.017,1.004,,1.003,1.006,,1.07,1.016,1.044,1.01
1600,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.004,1.016,1.004,,1.003,1.006,,1.07,1.016,1.044,1.01
1600,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.003,1.018,1.004,,1.002,1.006,,1.07,1.016,1.044,1.01
1600,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.003,1.016,1.004,,1.003,1.006,,1.07,1.016,1.044,1.01
1650,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.024,1.006,1.004,1.051,1.007,1.007,1.012,1.07,1.016,1.044,1.01
1650,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.006,1.004,1.051,1.008,1.007,1.012,1.07,1.016,1.044,1.01
1650,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.016,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1650,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.014,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1650,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.004,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1650,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.003,1.006,1.004,,1.002,1.007,,1.07,1.016,1.044,1.01
1650,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1650,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.002,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1700,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.024,1.006,1.004,1.051,1.007,1.007,1.012,1.07,1.016,1.044,1.01
1700,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.006,1.004,1.051,1.008,1.007,1.012,1.07,1.016,1.044,1.01
1700,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.016,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1700,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.014,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1700,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.004,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1700,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.003,1.006,1.004,,1.002,1.007,,1.07,1.016,1.044,1.01
1700,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1700,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.002,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1750,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.024,1.006,1.004,1.051,1.007,1.007,1.012,1.07,1.016,1.044,1.01
1750,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.006,1.004,1.051,1.008,1.007,1.012,1.07,1.016,1.044,1.01
1750,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.016,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1750,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.014,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1750,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.004,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1750,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.003,1.006,1.004,,1.002,1.007,,1.07,1.016,1.044,1.01
1750,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1750,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.002,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
