mass,pT,SRH1_N,SRH2_N,SRZ1_N,SRZ2_N,SRZ1_W,SRZ2_W,SRZ1_VW,SRZ2_VW
1200,>600,0.15343278569229477,0.16591928251121077,0.2107201309328969,0.2557855722292533,0.19206247406345495,0.23682744792246854,0.16673563979473596,0.22146518314789349
1400,<400,0.021320723411315745,0.01294613167812015,0.03905809362662155,0.01854017036913312,0.053541218965753735,0.029508931071168597,0.07510807854575759,0.04071330230118665
1400,400-600,0.40318566450970633,0.3650631788960319,0.38169768753525096,0.32900450977117085,0.4448813497325225,0.3824402262164735,0.48242095942497004,0.4308660591359077
1400,>600,0.5730324650185278,0.6199068942584792,0.5773406655386351,0.6503257056956739,0.4991541310411047,0.5865949941206114,0.44043960622949113,0.5265193732380515
1600,<400,0.007632297856760639,0.003467855645745208,0.018498087672844953,0.007518519883536653,0.023279033105622703,0.009757702006358952,0.03789290595104982,0.01727993494612726
1600,400-600,0.18145717745796602,0.1461834533744903,0.18762871432774345,0.1404931264511849,0.2518129269574356,0.1881920842012937,0.3129581314449,0.24063156468116825
1600,>600,0.809699495874053,0.8495103082961777,0.793027360988526,0.8511406774038993,0.723646873357856,0.8006797500274093,0.6477823332090943,0.7410042691603984
1800,<400,0.0033359669914845053,0.0014380114356147499,0.011437153419593346,0.002755283760626323,0.014768603984976765,0.0049607752653437935,0.018512804689910522,0.00717060053779504
1800,400-600,0.0752348345184795,0.054439004348272674,0.09453943314849045,0.06125466214172911,0.12954357374753325,0.08837101984310106,0.18690219068188832,0.13310427248282045
1800,>600,0.9208732039914552,0.9436778854384223,0.8935613062230437,0.9353852357111656,0.8551149022853142,0.9059760036917397,0.7935822277074976,0.8586794144009561
2000,<400,0.0014857074939085993,0.0005819117331781569,0.006317368815888183,0.0019922723979715045,0.008092657212859159,0.0030573559985324693,0.012597824012216072,0.0033822801517901335
2000,400-600,0.031199857372080586,0.020887568527763314,0.048643739882339006,0.026382516300410528,0.07253693666938897,0.04579919285801639,0.11051727428898644,0.06484078534895232
2000,>600,0.9671064360848636,0.9781629965391565,0.9446440557507798,0.9714139096836513,0.9189249387482367,0.9508988626635686,0.876503149456003,0.9311169773964693
2200,<400,0.0007359705611775528,0.0001422475106685633,0.0048571903022251745,0.0009999142930605949,0.005801947094109548,0.0012140255659501536,0.005945604048070841,0.0014516597309590631
